business,Turnover in million SEK
Outokumpu Stainless AB,14577
Clas Ohlson AB,8211
Stora Enso Skog AB,7798
Stora Enso AB,5579
Stora Enso Fors AB,3634
SkiStar AB,2536
MaserFrakt AB,2431
Dellner Couplers AB,1884
Bergvik Skog Väst AB,1864
Stora Enso Timber AB,1854
Curt Landrin Bil AB,1802
Dellner Bubenzer Group AB,1792
Bygg Partner i Dalarna Holding AB  (publ),1655
Arctic Paper Grycksbo AB,1624
Bergkvist-Insjön AB,1613
"Ejendal AB, Per-Olof",1454
NKT (Sweden) AB,1436
Borlänge Kommuns Förvaltnings AB,1417
Siljan Group AB,1350
HMB Holding AB,1259
