Month,Stock price in euros
"Jan 8, 2021",8.96
"Jan 7, 2021",9.0
"Jan 6, 2021",8.69
"Jan 5, 2021",8.0
"Jan 4, 2021",7.75
"Dec 31, 2020",8.02
"Dec 30, 2020",7.96
"Dec 29, 2020",8.03
"Dec 28, 2020",8.09
"Dec 24, 2020",8.18
"Dec 23, 2020",8.04
"Dec 22, 2020",7.74
"Dec 21, 2020",7.6
"Dec 18, 2020",7.99
"Dec 17, 2020",8.13
"Dec 16, 2020",8.2
"Dec 15, 2020",8.31
"Dec 14, 2020",8.09
"Dec 11, 2020",8.14
"Dec 10, 2020",8.23
"Dec 9, 2020",8.5
"Dec 8, 2020",8.53
"Dec 7, 2020",8.51
"Dec 4, 2020",8.68
"Dec 3, 2020",8.57
"Dec 2, 2020",8.65
"Dec 1, 2020",8.62
"Nov 30, 2020",8.65
"Nov 27, 2020",9.5
"Nov 26, 2020",9.5
"Nov 25, 2020",9.63
"Nov 24, 2020",9.92
"Nov 23, 2020",9.35
"Nov 20, 2020",8.97
"Nov 19, 2020",9.06
"Nov 18, 2020",9.3
"Nov 17, 2020",9.17
"Nov 16, 2020",8.86
"Nov 13, 2020",8.41
"Nov 12, 2020",8.38
"Nov 11, 2020",8.22
"Nov 10, 2020",8.7
"Nov 9, 2020",8.35
"Nov 6, 2020",7.25
"Nov 5, 2020",7.42
"Nov 4, 2020",7.47
"Nov 3, 2020",7.6
"Nov 2, 2020",7.32
"Oct 30, 2020",7.05
"Oct 29, 2020",6.88
"Oct 28, 2020",7.0
"Oct 27, 2020",7.24
"Oct 26, 2020",7.52
"Oct 23, 2020",7.62
"Oct 22, 2020",7.42
"Oct 21, 2020",7.34
"Oct 20, 2020",7.38
"Oct 19, 2020",7.44
"Oct 16, 2020",7.38
"Oct 15, 2020",7.24
"Oct 14, 2020",7.32
"Oct 13, 2020",7.23
"Oct 12, 2020",7.62
"Oct 9, 2020",7.68
"Oct 8, 2020",7.84
"Oct 7, 2020",7.72
"Oct 6, 2020",7.71
"Oct 5, 2020",7.34
"Oct 2, 2020",7.26
"Oct 1, 2020",7.06
"Sep 30, 2020",7.15
"Sep 29, 2020",6.98
"Sep 28, 2020",7.21
"Sep 25, 2020",6.76
"Sep 24, 2020",6.84
"Sep 23, 2020",6.79
"Sep 22, 2020",6.92
"Sep 21, 2020",6.97
"Sep 18, 2020",7.48
"Sep 17, 2020",7.8
"Sep 16, 2020",8.05
"Sep 15, 2020",8.07
"Sep 14, 2020",8.3
"Sep 11, 2020",7.99
"Sep 10, 2020",8.19
"Sep 9, 2020",8.12
"Sep 8, 2020",8.0
"Sep 7, 2020",8.21
"Sep 4, 2020",8.24
"Sep 3, 2020",7.98
"Sep 2, 2020",7.91
"Sep 1, 2020",8.01
"Aug 31, 2020",7.98
"Aug 28, 2020",8.36
"Aug 27, 2020",8.16
"Aug 26, 2020",8.2
"Aug 25, 2020",8.25
"Aug 24, 2020",8.11
"Aug 21, 2020",7.79
"Aug 20, 2020",7.82
"Aug 19, 2020",8.11
"Aug 18, 2020",7.96
"Aug 17, 2020",8.01
"Aug 14, 2020",8.23
"Aug 13, 2020",8.53
"Aug 12, 2020",8.74
"Aug 11, 2020",8.09
"Aug 10, 2020",7.76
"Aug 7, 2020",7.38
"Aug 6, 2020",7.39
"Aug 5, 2020",7.29
"Aug 4, 2020",7.27
"Aug 3, 2020",7.17
"Jul 31, 2020",7.02
"Jul 30, 2020",7.05
"Jul 29, 2020",7.31
"Jul 28, 2020",7.46
"Jul 27, 2020",7.54
"Jul 24, 2020",7.69
"Jul 23, 2020",7.81
"Jul 22, 2020",7.94
"Jul 21, 2020",8.22
"Jul 20, 2020",8.22
"Jul 17, 2020",8.4
"Jul 16, 2020",8.45
"Jul 15, 2020",8.35
"Jul 14, 2020",8.21
"Jul 13, 2020",8.15
"Jul 10, 2020",8.08
"Jul 9, 2020",7.8
"Jul 8, 2020",8.0
"Jul 7, 2020",8.24
"Jul 6, 2020",8.4
"Jul 3, 2020",7.96
"Jul 2, 2020",8.01
"Jul 1, 2020",7.65
"Jun 30, 2020",7.67
"Jun 29, 2020",7.74
"Jun 26, 2020",7.42
"Jun 25, 2020",7.75
"Jun 24, 2020",7.52
"Jun 23, 2020",8.1
"Jun 22, 2020",7.67
"Jun 19, 2020",7.73
"Jun 18, 2020",7.91
"Jun 17, 2020",8.05
"Jun 16, 2020",8.18
"Jun 15, 2020",7.63
"Jun 12, 2020",7.64
"Jun 11, 2020",7.58
"Jun 10, 2020",8.32
"Jun 9, 2020",8.57
"Jun 8, 2020",9.07
"Jun 5, 2020",9.0
"Jun 4, 2020",8.3
"Jun 3, 2020",8.2
"Jun 2, 2020",7.88
"Jun 1, 2020",7.7
"May 29, 2020",7.21
"May 28, 2020",7.44
"May 27, 2020",7.43
"May 26, 2020",7.09
"May 25, 2020",6.46
"May 22, 2020",6.52
"May 21, 2020",6.28
"May 20, 2020",6.55
"May 19, 2020",6.36
"May 18, 2020",6.27
"May 15, 2020",5.84
"May 14, 2020",6.05
"May 13, 2020",6.06
"May 12, 2020",6.67
"May 11, 2020",6.65
"May 8, 2020",6.82
"May 7, 2020",6.71
"May 6, 2020",6.5
"May 5, 2020",6.69
"May 4, 2020",6.54
"Apr 30, 2020",7.0
"Apr 29, 2020",7.46
"Apr 28, 2020",6.95
"Apr 27, 2020",6.5
"Apr 24, 2020",6.31
"Apr 23, 2020",6.58
"Apr 22, 2020",6.49
"Apr 21, 2020",6.43
"Apr 20, 2020",6.85
"Apr 17, 2020",7.1
"Apr 16, 2020",6.96
"Apr 15, 2020",6.9
"Apr 14, 2020",7.53
"Apr 9, 2020",7.95
"Apr 8, 2020",7.77
"Apr 7, 2020",7.87
"Apr 6, 2020",7.64
"Apr 3, 2020",7.16
"Apr 2, 2020",7.39
"Apr 1, 2020",6.92
"Mar 31, 2020",7.48
"Mar 30, 2020",7.34
"Mar 27, 2020",8.15
"Mar 26, 2020",8.53
"Mar 25, 2020",8.86
"Mar 24, 2020",8.76
"Mar 23, 2020",7.61
"Mar 20, 2020",7.43
"Mar 19, 2020",7.18
"Mar 18, 2020",7.17
"Mar 17, 2020",7.67
"Mar 16, 2020",7.15
"Mar 13, 2020",7.55
"Mar 12, 2020",7.49
"Mar 11, 2020",9.51
"Mar 10, 2020",9.49
"Mar 9, 2020",9.53
"Mar 6, 2020",11.2
"Mar 5, 2020",11.65
"Mar 4, 2020",12.14
"Mar 3, 2020",12.0
"Mar 2, 2020",12.4
"Feb 28, 2020",12.44
"Feb 27, 2020",13.31
"Feb 26, 2020",14.02
"Feb 25, 2020",14.0
"Feb 24, 2020",14.24
"Feb 21, 2020",14.84
"Feb 20, 2020",15.0
"Feb 19, 2020",15.11
"Feb 18, 2020",15.13
"Feb 17, 2020",15.17
"Feb 14, 2020",15.19
"Feb 13, 2020",15.4
"Feb 12, 2020",15.9
"Feb 11, 2020",16.89
"Feb 10, 2020",16.68
"Feb 7, 2020",16.76
"Feb 6, 2020",16.71
"Feb 5, 2020",16.42
"Feb 4, 2020",15.96
"Feb 3, 2020",15.92
"Jan 31, 2020",15.72
"Jan 30, 2020",15.86
"Jan 29, 2020",16.05
"Jan 28, 2020",15.87
"Jan 27, 2020",15.57
"Jan 24, 2020",15.79
"Jan 23, 2020",15.79
"Jan 22, 2020",15.7
"Jan 21, 2020",15.72
"Jan 20, 2020",16.14
"Jan 17, 2020",16.44
