Year,GDP in billion international dollars
2021*,1893.36
2020*,1781.0
2019,1923.65
2018,1854.03
2017,1768.32
2016,1686.8
2015,1620.45
2014,1544.5
2013,1495.76
2012,1491.41
2011,1507.94
2010,1489.21
2009,1469.59
2008,1515.59
2007,1473.58
2006,1385.14
2005,1291.45
2004,1208.26
2003,1141.01
2002,1087.75
2001,1042.38
2000,981.38
1999,913.75
1998,859.94
1997,813.99
1996,770.41
1995,738.67
1994,694.86
1993,664.81
1992,658.07
1991,637.98
1990,601.91
1989,558.7
1988,512.0
1987,469.74
1986,433.64
1985,410.98
1984,389.19
