product industry class,Change in percent from previous year
Goods Returned Or Reimported,11.58%
Beverages & Tobacco,5.53%
Livestock & Livestock Products,4.55%
"Special Classification Provision, Nspf",3.05%
Transportation Equipment,2.49%
Chemicals,2.02%
Food & Kindred Products,1.86%
Textile Mill Products,1.6%
Agricultural Products,1.55%
Plastic & Rubber Products,1.19%
Apparel & Accessories,0.61%
"Printing, Publishing & Similar Products",0.24%
"Forestry Products, Nspf",0.21%
"Machinery, Except Electrical",-0.01%
Miscellaneous Manufactured Commodities,-0.2%
Leather & Allied Products,-0.37%
"Electrical Equipment, Appliances & Components",-0.51%
Used Or Second-H& Merch&ise,-0.75%
Fabricated Metal Products,-1.98%
"Fish, Fresh Or Chilled; & Other Marine Products",-2.7%
Paper Products,-4%
Scrap & Waste,-4.82%
Nonmetallic Mineral Products,-5.18%
Furniture & Fixtures,-6.79%
Computers & Electronic Products,-6.97%
Textile & Fabrics,-6.98%
Minerals & Ores,-7.53%
Petroleum & Coal Products,-9.59%
Primary Metal Products,-10.79%
Oil & Gas,-14.03%
Wood Products,-14.73%
