University (rank),Average student debt in U.S. dollars
Northwestern University (9),36350
Columbia University (3),27595
University of Notre Dame (19),27460
Cornell University (18),27094
University of Chicago (6),26619
Dartmouth College (13),25071
Brown University (14),24304
Rice University (16),24292
Washington University in St. Louis (16),24247
Johns Hopkins University (9),24107
Massachusetts Institute of Technology (3),23517
University of Pennsylvania (8),23009
Stanford University (6),22897
Vanderbilt University (14),22727
Duke University (12),22203
University of California - Los Angeles (20),21441
California Institute of Technology (9),20192
Harvard University (2),16130
Yale University (4),15379
Princeton University (1),9445
