Year,Population in thousands
2020,2877.8
2019,2880.91
2018,2882.74
2017,2884.17
2016,2886.43
2015,2890.52
2014,2896.31
2013,2903.79
2012,2914.09
2011,2928.6
2010,2948.03
2009,2973.04
2008,3002.68
2007,3033.99
2006,3063.02
2005,3086.81
2004,3104.89
2003,3118.02
2002,3126.18
2001,3129.7
2000,3129.25
1999,3122.7
1998,3110.7
1997,3099.75
1996,3098.7
1995,3112.92
1994,3146.52
1993,3195.2
1992,3245.89
1991,3280.4
1990,3286.07
1989,3257.91
1988,3200.97
1987,3124.89
1986,3044.2
1985,2969.67
1984,2904.14
1983,2844.87
1982,2790.28
1981,2737.02
1980,2682.7
1979,2627.51
1978,2572.85
1977,2518.69
1976,2464.98
1975,2411.73
1974,2358.85
1973,2306.28
1972,2254.06
1971,2202.19
1970,2150.7
1969,2099.74
1968,2049.21
1967,1998.74
1966,1947.84
1965,1896.18
1964,1843.65
1963,1790.57
1962,1737.68
1961,1685.93
1960,1636.09
1959,1588.51
1958,1543.26
1957,1500.18
1956,1459.12
1955,1419.99
1954,1382.9
1953,1348.11
1952,1316.09
1951,1287.5
1950,1263.16
1949,1250.0
1948,1230.0
1947,1210.0
1946,1200.0
1945,1180.0
1944,1160.0
1943,1160.0
1942,1150.0
1941,1140.0
1940,1120.0
1939,1100.0
1938,1080.0
1937,1060.0
1936,1050.0
1935,1040.0
1934,1040.0
1933,1030.0
1932,1030.0
1931,1020.0
1930,1020.0
1929,1010.0
1928,1010.0
1927,1000.0
1926,995.0
1925,989.0
1924,984.0
1923,979.0
1922,974.0
1921,969.0
1920,964.0
1919,959.0
1918,954.0
1917,949.0
1916,943.0
1915,938.0
1914,932.0
1913,926.0
1912,918.0
1911,910.0
1910,901.0
1909,893.0
1908,884.0
1907,876.0
1906,868.0
1905,860.0
1904,852.0
1903,844.0
1902,836.0
1901,828.0
1900,820.0
1899,812.0
1898,804.0
1897,796.0
1896,788.0
1895,780.0
1894,772.0
1893,764.0
1892,757.0
1891,749.0
1890,742.0
1889,734.0
1888,727.0
1887,720.0
1886,713.0
1885,706.0
1884,699.0
1883,692.0
1882,686.0
1881,679.0
1880,673.0
1879,666.0
1878,660.0
1877,653.0
1876,647.0
1875,641.0
1874,634.0
1873,628.0
1872,622.0
1871,616.0
1870,610.0
1869,604.0
1868,598.0
1867,592.0
1866,586.0
1865,581.0
1864,575.0
1863,569.0
1862,564.0
1861,558.0
1860,553.0
1859,547.0
1858,542.0
1857,537.0
1856,533.0
1855,528.0
1854,523.0
1853,519.0
1852,515.0
1851,511.0
1850,507.0
1849,503.0
1848,500.0
1847,497.0
1846,494.0
1845,491.0
1844,488.0
1843,485.0
1842,483.0
1841,480.0
1840,478.0
1839,476.0
1838,474.0
1837,472.0
1836,470.0
1835,468.0
1834,466.0
1833,463.0
1832,461.0
1831,459.0
1830,457.0
1829,455.0
1828,453.0
1827,451.0
1826,449.0
1825,448.0
1824,446.0
1823,444.0
1822,442.0
1821,440.0
1820,439.0
1819,437.0
1818,435.0
1817,434.0
1816,432.0
1815,431.0
1814,429.0
1813,428.0
1812,426.0
1811,425.0
1810,424.0
1809,422.0
1808,421.0
1807,420.0
1806,418.0
1805,417.0
1804,416.0
1803,414.0
1802,413.0
1801,412.0
1800,410.0
