Year,Gross domestic product in billion international dollars
2021*,324.87
2020*,300.62
2019,319.49
2018,306.76
2017,292.47
2016,281.33
2015,269.69
2014,260.8
2013,251.99
2012,245.35
2011,240.19
2010,232.17
2009,225.29
2008,235.12
2007,231.81
2006,223.72
2005,208.97
2004,198.02
2003,187.82
2002,183.68
2001,179.98
2000,174.68
1999,164.69
1998,157.7
1997,152.56
1996,145.24
1995,138.61
1994,131.77
1993,122.49
1992,119.64
1991,114.73
1990,109.45
1989,103.97
1988,99.41
1987,96.03
1986,93.47
1985,87.35
1984,81.41
