Response,Share of respondents
Buying a home/paying a mortgage,36%
Becoming unemployed,26%
The recession/current economic downturn,26%
Paying for children's education,24%
Getting into debt/severe financial difficutly,22%
Illness or accident preventing me/my spouse working,21%
Significant drop in earnings/pay cut,21%
Starting a family,19%
Having to fund/pay for a dependent,13%
Getting married/civil partnership,11%
Having to stop work to look after someone,11%
Paying for my own education,10%
Seperation/divorce,8%
Starting work,8%
Finishing full-time education,7%
Remarrying,3%
None of these events have significantly impacted,10%
Other event,4%
Don't know,6%
