Response,Share of responding businesses
Attracting customers,78%
Increasing revenue,72%
Maintaining profitability,32%
Securing financing for business as usual,30%
Developing new products/innovation,26%
Retaining/recruiting skilled employees,22%
Tax laws and rules,22%
"Other government regulations (e.g., compliance, technical regulation, patents, reporting)",21%
Securing financing for expansion,21%
Finding/working with suppliers,19%
Uncertainty over economic conditions,13%
Selling to foreign markets,9%
