Industry,Real value added in billion chained (2012) U.S. dollars
Manufacturing,90.02
"Finance, insurance, real estate, rental, and leasing",77.97
Professional and business services,66.36
Government and government enterprises,46.65
"Educational services, health care, and social assistance",44.94
Wholesale trade,30.82
Retail trade,30.52
Construction,16.82
"Arts, entertainment, recreation, accommodation, and food services",15.37
Information,15.06
Transportation and warehousing,12.53
Other services (except government and government enterprises),10.06
Utilities,8.63
"Agriculture, forestry, fishing, and hunting",4.34
"Mining, quarrying, and oil and gas extraction",2.34
