company,Number of employees
FMF Group AB,1144
Meritor HVS AB,986
Atria Sverige AB,971
Örebro Rådhus AB,811
Dressmann AB,678
Textilia Tvätt & Textilservice AB,547
Nordica Assistans AB,529
Kopparbergs Bryggeri AB,460
Kraft Assistans AB,454
Linde Material Handling AB,453
Cambrex Karlskoga AB,421
Dynasafe International AB,416
Zinkgruvan Mining AB,397
Würth Svenska AB,388
Radiator VVS AB,384
Suzuki Garphyttan AB,347
Akustikbyggarna Sverige AB,341
BAE Systems Bofors AB,340
Orica Sweden AB,335
V7 Förvaltning AB,329
