Month,Sales index
Apr 26,494
Apr 25,497
Apr 24,502
Apr 23,513
Apr 22,530
Apr 21,561
Apr 20,582
Apr 19,609
Apr 18,639
Apr 17,683
Apr 16,729
Apr 15,685
Apr 14,706
Apr 13,726
Apr 12,785
Apr 11,831
Apr 10,863
Apr 9,904
Apr 8,1012
Apr 7,1060
Apr 6,1102
Apr 5,1124
Apr 4,1154
Apr 3,1190
Apr 2,1241
Apr 1,1333
Mar 31,1410
Mar 30,1437
Mar 29,1440
Mar 28,1441
Mar 27,1440
Mar 26,1352
Mar 25,1214
Mar 24,1054
Mar 23,922
Mar 22,811
Mar 21,688
Mar 20,543
Mar 19,439
Mar 18,378
Mar 17,315
Mar 16,266
Mar 15,215
Mar 14,177
Mar 13,154
Mar 12,143
Mar 11,133
Mar 10,128
Mar 9,122
Mar 8,115
Mar 7,108
Mar 6,105
Mar 5,104
Mar 4,100
Mar 3,96
Mar 2,98
Mar 1,96
