Country,GDP in billion U.S. dollars
Brazil,1839.8
Mexico,1258.3
Argentina,449.7
Colombia,323.8
Chile,282.3
Peru,226.8
Ecuador,107.4
Puerto Rico,105.0
Dominican Republic,88.9
Guatemala,76.7
Panama,66.8
Costa Rica,61.8
Uruguay,56.0
Bolivia,40.9
Paraguay,38.1
El Salvador,27.0
Honduras,25.1
Trinidad and Tobago,24.1
Jamaica,16.5
Bahamas,12.8
Nicaragua,12.5
Haiti,8.5
Barbados,5.2
Guyana,4.3
Suriname,4.0
St. Lucia,2.1
Belize,1.9
Antigua and Barbuda,1.7
Grenada,1.2
St. Kitts and Nevis,1.1
St. Vincent and the Grenadines,0.8
Dominica,0.6
