Year,Gross domestic product in billion international dollars
2021*,510.84
2020*,475.96
2019,495.18
2018,481.28
2017,452.03
2016,438.53
2015,426.72
2014,412.75
2013,398.16
2012,376.07
2011,350.37
2010,323.39
2009,302.04
2008,304.58
2007,288.54
2006,267.83
2005,244.51
2004,224.2
2003,203.67
2002,192.12
2001,183.45
2000,173.78
1999,161.35
1998,159.8
1997,151.41
1996,138.57
1995,127.34
1994,114.59
1993,106.79
1992,97.74
1991,85.99
1990,77.22
1989,71.8
1988,62.47
1987,56.24
1986,51.49
1985,47.8
1984,45.44
