Year,Number of people in thousands
1/8/2021,595.01
1/7/2021,591.6
1/6/2021,586.76
1/5/2021,581.86
1/4/2021,577.2
1/3/2021,574.9
1/2/2021,571.33
1/1/2021,566.37
12/29/2020,549.26
12/26/2020,536.33
12/23/2020,516.42
12/21/2020,501.9
12/18/2020,484.95
12/15/2020,465.05
12/12/2020,451.48
12/9/2020,425.82
12/6/2020,405.61
12/3/2020,381.0
11/30/2020,353.19
11/27/2020,326.66
11/24/2020,304.19
11/21/2020,287.31
11/18/2020,261.39
11/15/2020,243.83
11/12/2020,224.92
11/9/2020,206.79
11/6/2020,195.97
11/3/2020,181.18
10/31/2020,172.51
10/28/2020,159.85
10/25/2020,149.74
10/22/2020,141.09
10/19/2020,132.08
10/16/2020,127.08
10/13/2020,120.52
10/10/2020,116.63
10/8/2020,113.11
10/6/2020,109.9
10/4/2020,108.14
10/2/2020,105.58
9/30/2020,102.48
9/28/2020,99.34
9/26/2020,97.55
9/24/2020,94.88
9/22/2020,92.17
9/20/2020,89.77
9/18/2020,88.24
9/14/2020,43.24
9/11/2020,41.01
9/8/2020,40.45
9/5/2020,39.63
9/1/2020,37.87
8/28/2020,36.68
8/24/2020,35.29
8/20/2020,33.57
8/16/2020,32.33
8/12/2020,30.59
8/8/2020,29.29
8/4/2020,27.75
7/31/2020,26.61
7/27/2020,25.64
7/23/2020,24.66
7/19/2020,22.49
7/15/2020,21.8
7/11/2020,21.13
7/7/2020,20.21
7/3/2020,19.36
6/29/2020,18.81
6/25/2020,17.39
6/21/2020,16.74
6/17/2020,16.07
6/5/2020,13.92
