metropolitan area,Unemployment rate
"Modesto, CA",18%
"Stockton, CA",17.2%
"Fresno, CA",16.7%
"Detroit - Warren - Livonia, MI",16.4%
"Bakersfield, CA",15.6%
"Riverside - San Bernardino - Ontario, CA",14.4%
"Youngstown - Warren - Boardman, OHPA",14.2%
"Grand Rapids - Wyoming, MI",12.7%
"Sarasota - Bradenton - Venice, FL",12.7%
"Sacramento, CA",12.7%
"Lansing - East Lansing, MI",12.6%
"Las Vegas - Paradise, NV",12.5%
"Toledo, OH",12.4%
"Reno - Sparks, NV",12.4%
"Tampa - St. Petersburg - Clearwater, FL",12.3%
