Month,USD GBP exchange rate
Oct 20,0.77
Sep 20,0.77
Aug 20,0.75
Jul 20,0.76
Jun 20,0.81
May 20,0.81
Apr 20,0.8
Mar 20,0.81
Feb 20,0.78
Jan 20,0.76
Dec 19,0.76
Nov 19,0.77
Oct 19,0.78
Sep 19,0.81
Aug 19,0.82
Jul 19,0.82
Jun 19,0.79
May 19,0.79
Apr 19,0.77
Mar 19,0.77
Feb 19,0.75
Jan 19,0.76
Dec 18,0.79
Nov 18,0.78
Oct 18,0.79
Sep 18,0.76
Aug 18,0.78
Jul 18,0.76
Jun 18,0.76
May 18,0.75
Apr 18,0.73
Mar 18,0.71
Feb 18,0.73
Jan 18,0.71
Dec 17,0.74
Nov 17,0.74
Oct 17,0.76
Sep 17,0.74
Aug 17,0.77
Jul 17,0.76
Jun 17,0.77
May 17,0.78
Apr 17,0.78
Mar 17,0.8
Feb 17,0.8
Jan 17,0.8
