Instagram Influencer,Number of followers in millions
Nicky Jam (@nickyjampr),36.9
Carmen Villalobos (@cvillaloboss),15.7
Greeicy (@greeicy1),14.0
Luisa Fernanda W (@luisafernandaw),13.8
Camilo (@camilomusica),12.8
Manuel Turizo (@mturizomusic),8.6
Paula Galindo (@pautips),8.5
Jessica Cediel (@jessicacedielnet),7.4
Kevin Roldan KR (@kevinroldankr),7.0
Pipe Bueno (@pipebueno),7.0
Carlos Vives (@carlosvives),7.0
Dani Salomé (@daniela_ospina5),6.7
Carolina Cruz (@carolinacruzosorio),5.6
Sara Uribe (@sara_uribe),5.5
Paulina Vega Dieppa (@paulinavegadiep),5.5
