Date,Year-over-year change in seated restaurant diners
2/24,11%
2/25,4%
2/26,5%
2/27,5%
2/28,11%
2/29,7%
3/1,9%
3/2,-8%
3/3,0%
3/4,-4%
3/5,-6%
3/6,-7%
3/7,4%
3/8,11%
3/9,-10%
3/10,-16%
3/11,-11%
3/12,-17%
3/13,-28%
3/14,-38%
3/15,-46%
3/16,-63%
3/17,-90%
3/18,-95%
3/19,-98%
3/20,-99%
3/21,-100%
3/22,-100%
3/23,-100%
3/24,-100%
3/25,-100%
3/26,-100%
3/27,-100%
3/28,-100%
3/29,-100%
3/30,-100%
3/31,-100%
4/1,-100%
4/2,-100%
4/3,-100%
4/4,-100%
4/5,-100%
4/6,-100%
4/7,-100%
4/8,-100%
4/9,-100%
4/10,-100%
4/11,-100%
4/12,-100%
4/13,-100%
4/14,-100%
4/15,-100%
4/16,-100%
4/17,-100%
4/18,-100%
4/19,-100%
4/20,-100%
4/21,-100%
4/22,-100%
4/23,-100%
4/24,-100%
4/25,-100%
4/26,-100%
4/27,-100%
4/28,-100%
4/29,-100%
4/30,-100%
5/1,-100%
5/2,-100%
5/3,-100%
5/4,-100%
5/5,-100%
5/6,-100%
5/7,-100%
5/8,-100%
5/9,-99.42%
5/10,-99.48%
5/11,-94.49%
5/12,-95.32%
5/13,-91.52%
5/14,-91.52%
5/15,-79.98%
5/16,-79.03%
5/17,-73.93%
5/18,-62.32%
5/19,-65.14%
5/20,-55.65%
5/21,-24.4%
5/22,-50.23%
5/23,-60.52%
5/24,-54.68%
5/25,-56.44%
5/26,-59.6%
5/27,-54.84%
5/28,-67.18%
5/29,-43.96%
5/30,-32.5%
5/31,0.34%
6/1,32.21%
6/2,-39.24%
6/3,-31.94%
6/4,-42.77%
6/5,-23.83%
6/6,-22.96%
6/7,-41.17%
6/8,-54.37%
6/9,-13.47%
6/10,-9.93%
6/11,7.49%
6/12,3.29%
6/13,-14.07%
6/14,-21.8%
6/15,-27.33%
6/16,-24.75%
6/17,-23.73%
6/18,-30.86%
6/19,-6.64%
6/20,-4.07%
6/21,7.33%
6/22,-13.11%
6/23,-8.96%
6/24,-1.74%
6/25,-7.69%
6/26,1.43%
6/27,0.81%
6/28,14.31%
6/29,-16.13%
6/30,-10.72%
7/1,-5.39%
7/2,-7.33%
7/3,0.18%
7/4,3.1%
7/5,0.59%
7/6,-15.76%
7/7,-6.96%
7/8,-1.24%
7/9,-3.76%
7/10,-1.95%
7/11,1.38%
7/12,0.95%
7/13,-3.98%
7/14,2.5%
7/15,5.55%
7/16,10.65%
7/17,18.78%
7/18,16.92%
7/19,14.76%
7/20,12.46%
7/21,18.33%
7/22,22.76%
7/23,24.85%
7/24,29.27%
7/25,17.31%
7/26,9.11%
7/27,12.23%
7/28,15.25%
7/29,20.63%
7/30,24.71%
7/31,13.81%
8/1,8.38%
8/2,16.55%
8/3,18.93%
8/4,13.6%
8/5,13.19%
8/6,15.7%
8/7,11.64%
8/8,2.46%
8/9,-2.87%
8/10,5.78%
8/11,-4.77%
8/12,8.84%
8/13,2.71%
8/14,11.43%
8/15,6.77%
8/16,8.53%
8/17,12.08%
8/18,9.92%
8/19,17.06%
8/20,20.91%
8/21,17.15%
8/22,18.98%
8/23,21.54%
8/24,24.53%
8/25,26.42%
8/26,28.13%
8/27,21.13%
8/28,24.15%
8/29,27.78%
8/30,13.57%
8/31,20.77%
9/1,16.03%
9/2,15.32%
9/3,12.63%
9/4,19.45%
9/5,14.87%
9/6,13.09%
9/7,7.77%
9/8,7.34%
9/9,16.64%
9/10,11.5%
9/11,20.17%
9/12,21.04%
9/13,21.34%
9/14,12.83%
9/15,9.34%
9/16,6.94%
9/17,5%
9/18,10.71%
9/19,21.76%
9/20,18.05%
9/21,7.67%
9/22,4.92%
9/23,4.68%
9/24,2.16%
9/25,6.63%
9/26,10.26%
9/27,4.6%
9/28,9.94%
9/29,7.49%
9/30,-8.49%
10/1,-24.98%
10/2,12.55%
10/3,19.61%
10/4,14.99%
10/5,-5.55%
10/6,-2.63%
10/7,6.69%
10/8,4.32%
10/9,10.48%
10/10,14.02%
10/11,10.53%
10/12,12.18%
10/13,7.01%
10/14,-2.13%
10/15,1.78%
10/16,0.76%
10/17,-5.21%
10/18,-5.13%
10/19,-9.33%
10/20,-10.66%
10/21,-14.41%
10/22,-15%
10/23,-18.66%
10/24,-20.83%
10/25,-22.28%
10/26,-33.29%
10/27,-32.78%
10/28,-28.77%
10/29,-32.29%
10/30,-19.05%
10/31,-9.89%
11/1,12.25%
11/2,-96.01%
11/3,-96.3%
11/4,-96.56%
11/5,-95.72%
11/6,-95.08%
11/7,-94.77%
11/8,-97.48%
11/9,-98.45%
11/10,-97.23%
11/11,-96.58%
11/12,-96.74%
11/13,-96.21%
11/14,-95.09%
11/15,-97.05%
11/16,-98.78%
11/17,-97.71%
11/18,-98.37%
11/19,-97.14%
11/20,-96.78%
11/21,-96.68%
11/22,-98.02%
11/23,-99.27%
11/24,-98.88%
11/25,-98.08%
11/26,-97.76%
11/27,-95.86%
11/28,-96.1%
11/29,-97.43%
11/30,-98.98%
12/1,-97.9%
12/2,-97.43%
12/3,-95.91%
12/4,-92.22%
12/5,-93.28%
12/6,-95.82%
12/7,-98.56%
12/8,-98.19%
12/9,-97.68%
12/10,-96.9%
12/11,-92.86%
12/12,-94.61%
12/13,-97.07%
12/14,-98.71%
12/15,-98.11%
12/16,-98.24%
12/17,-96.32%
12/18,-92.86%
12/19,-94.94%
12/20,-97.79%
