Year,GDP per capita in U.S. dollars
2025*,10132.16
2024*,9525.66
2023*,8960.43
2022*,8459.31
2021*,7740.11
2020*,7444.8
2019*,8595.61
2018,8340.96
2017,7874.94
2016,7521.27
2015,7139.51
2014,6805.66
2013,6413.93
2012,6274.87
2011,6063.35
2010,5688.75
2009,5151.17
2008,5194.8
2007,4803.47
2006,4188.72
2005,4008.36
2004,2540.85
2003,2460.55
2002,3158.39
2001,3007.38
2000,2894.3
1999,2674.83
1998,2658.54
1997,2495.03
1996,2309.92
1995,2141.06
1994,1916.44
1993,1741.67
1992,1573.69
1991,1365.23
1990,1123.24
1989,1230.74
1988,1113.84
1987,1245.27
1986,1212.35
1985,1022.61
