Month,Index*
Aug 20,104.1
Jul 20,103.9
Jun 20,104.2
May 20,104.8
Apr 20,104.2
Mar 20,104.5
Feb 20,104.3
Jan 20,104.1
Dec 19,104.3
Nov 19,103.7
Oct 19,102.8
Sep 19,103.5
Aug 19,103.7
Jul 19,103.1
Jun 19,103.1
May 19,102.9
Apr 19,102.8
Mar 19,103.1
Feb 19,103.0
Jan 19,102.6
Dec 18,102.5
Nov 18,101.6
Oct 18,101.5
Sep 18,101.7
Aug 18,101.9
Jul 18,101.7
Jun 18,101.4
May 18,101.9
Apr 18,102.1
Mar 18,102.3
Feb 18,101.9
Jan 18,101.7
Dec 17,101.8
Nov 17,101.1
Oct 17,100.6
Sep 17,100.2
Aug 17,99.4
Jul 17,99.4
Jun 17,99.4
May 17,99.6
Apr 17,99.5
Mar 17,99.3
Feb 17,98.9
Jan 17,98.1
Dec 16,97.9
Nov 16,97.2
Oct 16,96.8
Sep 16,97.3
Aug 16,97.3
Jul 16,96.9
Jun 16,97.2
May 16,97.6
Apr 16,98.0
Mar 16,98.1
Feb 16,98.8
Jan 16,98.6
