State,Population in thousands
California,15574.88
Texas,11524.84
Florida,5663.63
New York,3749.26
Arizona,2310.59
Illinois,2216.3
New Jersey,1856.85
Colorado,1256.9
Georgia,1042.64
New Mexico,1032.95
North Carolina,1023.0
Pennsylvania,997.83
Washington,991.72
Nevada,900.6
Massachusetts,853.74
Virginia,828.15
Maryland,643.17
Connecticut,600.95
Oregon,566.84
Michigan,525.97
Indiana,485.55
Ohio,467.59
Utah,462.05
Oklahoma,438.11
Wisconsin,412.77
Tennessee,389.13
Kansas,354.8
Minnesota,314.22
South Carolina,298.48
Missouri,264.33
Louisiana,250.2
Arkansas,231.95
Idaho,229.49
Nebraska,219.47
Alabama,219.3
Iowa,197.48
Rhode Island,172.64
Kentucky,168.02
Hawaii,150.86
Delaware,93.39
Mississippi,90.14
District of Columbia,79.48
Wyoming,58.61
New Hampshire,54.18
Alaska,52.55
Montana,40.33
South Dakota,33.02
North Dakota,30.49
West Virginia,26.82
Maine,23.07
Vermont,12.41
