Country,Median fees in U.S dollars
Canada,"34,122.5$"
Switzerland,"31,625$"
Germany,"31,625$"
Armenia,"29,100$"
Guatemala,"26,622.5$"
Netherlands,"25,812.5$"
Mongolia,"23,450$"
Albania,"23,100$"
"Macedonia, North","22,805$"
Lithuania,"21,000$"
Haiti,"20,274$"
Poland,"20,153.5$"
Kyrgyzstan,"19,155$"
Azerbaijan,"19,140$"
Hungary,"18,900$"
Burkina Faso,"18,810$"
Georgia,"18,800$"
Kazakhstan,"18,750$"
Romania,"17,212.5$"
Costa Rica,"16,680$"
Burundi,"16,650$"
Ireland,"15,937.5$"
El Salvador,"15,919.5$"
India,"15,750$"
China,"15,725$"
South Africa,"15,600$"
Mexico,"15,000$"
Moldova,"15,000$"
Peru,"14,755$"
Latvia,"14,600$"
Panama,"14,527.5$"
Brazil,"14,525$"
Colombia,"14,410$"
Bulgaria,"14,025$"
Vietnam,"13,372.5$"
Thailand,"13,145$"
Sri Lanka,"12,750$"
Madagascar,"12,000$"
Lesotho,"12,000$"
Ghana,"11,915$"
Czech Republic,"11,600$"
United States,"11,155$"
United Kingdom,"11,000$"
Rwanda,"9,670$"
Guinea,"8,950$"
Dominican  Republic,"8,700$"
Philippines,"8,575$"
Croatia,"8,500$"
Ecuador,"8,500$"
Belize,"8,200$"
Hong Kong SAR,"6,675$"
Kenya,"6,250$"
Serbia,"5,530$"
Togo,"3,500$"
