Metropolitan Area,Land Area in square kilometers
"Riverside-San Bernardino-Ontario, CA",70612
"Phoenix-Mesa-Scottsdale, AZ",37725
"Albuquerque, NM",24042
"Dallas-Fort Worth-Arlington, TX",24029
"Tucson, AZ",23794
"Atlanta-Sandy Springs-Roswell, GA",22498
"Denver-Aurora-Lakewood, CO",21616
"New York-Newark-Jersey City, NY-NJ-PA",21480
"Houston-The Woodlands-Sugar Land, TX",21388
"Bakersfield, CA",21062
"Las Vegas-Henderson-Paradise, NV",20439
"St. Louis, MO-IL",20366
"Salt Lake City, UT",19901
"Minneapolis-St. Paul-Bloomington, MN-WI",19779
"San Antonio-New Braunfels, TX",18941
"Kansas City, MO-KS",18793
"Chicago-Naperville-Elgin, IL-IN-WI",18638
"Portland-Vancouver-Hillsboro, OR-WA",17311
"Nashville-Davidson--Murfreesboro--Franklin, TN",16320
"Tulsa, OK",16237
