Metropolitan Statistical Area,"Violent crime rate per 100,000 inhabitnats"
"Anchorage, AK",1194.6
"Memphis, TN-MS-AR",1120.5
"Albuquerque, NM",1043.4
"Danville, IL",935.7
"Pine Bluff, AR",895.4
"Odessa, TX",881.8
"Alexandria, LA",849.2
"Lubbock, TX",838.5
"Florence, SC",823.4
"Monroe, LA",812.5
"Fairbanks, AK",794.5
"Stockton, CA",788.5
"Little Rock-North Little Rock-Conway, AR",782.3
"Wichita, KS",781.2
"Corpus Christi, TX",736.9
"Sumter, SC",718.6
"Albany, GA",717.6
"Lawton, OK",716.4
"Baltimore-Columbia-Towson, MD",698.7
"Gainesville, FL",692.1
"Rockford, IL",634.5
"Springfield, MO",632.7
"Battle Creek, MI",624.0
"Saginaw, MI",623.6
"Bakersfield, CA",621.1
"Jackson, TN",613.6
"Amarillo, TX",595.4
"Fort Smith, AR-OK",585.7
"Springfield, IL",584.0
"Columbia, SC",583.4
"Flint, MI",579.7
"Milwaukee-Waukesha, WI",577.9
"Kalamazoo-Portage, MI",572.5
"Nashville-Davidson–Murfreesboro–Franklin, TN",570.5
"Shreveport-Bossier City, LA",563.2
"Cleveland, TN",559.8
"Las Cruces, NM",556.9
"Jonesboro, AR",556.0
"Kokomo, IN",555.3
"Baton Rouge, LA",554.0
"Merced, CA",553.2
"New Orleans-Metairie, LA",551.5
"Niles, MI",550.7
"Lake Charles, LA",547.7
"Napa, CA",543.4
"Beaumont-Port Arthur, TX",541.2
"Rapid City, SD",532.2
"Greensboro-High Point, NC",530.2
"Tulsa, OK",529.6
"Modesto, CA",529.1
