Year,COLCAP Index in Colombian pesos
10/15/20,1166.01
10/01/20,1162.36
09/30/20,1171.92
09/15/20,1193.71
09/01/20,1255.76
08/31/20,1216.03
08/14/20,1153.28
08/03/20,1133.1
07/30/20,1164.66
07/15/20,1144.85
07/01/20,1109.91
06/30/20,1111.8
06/16/20,1154.63
06/01/20,1117.02
05/29/20,1095.84
05/15/20,1053.75
05/04/20,1105.43
04/30/20,1142.04
04/15/20,1204.01
04/07/20,1163.43
04/06/20,1160.12
04/03/20,1127.55
04/02/20,1114.43
04/01/20,1063.03
03/31/20,1123.85
03/30/20,1129.18
03/27/20,1147.54
03/26/20,1167.04
03/25/20,1046.18
03/24/20,923.53
03/20/20,919.59
03/19/20,899.75
03/18/20,894.03
03/17/20,1000.5
03/16/20,997.78
03/13/20,1174.31
03/12/20,1174.31
03/11/20,1295.46
03/10/20,1360.21
03/09/20,1344.6
03/06/20,1502.84
03/05/20,1546.66
03/04/20,1544.53
03/03/20,1512.61
03/02/20,1536.48
02/28/20,1549.61
02/27/20,1556.69
02/26/20,1589.74
02/25/20,1612.48
02/24/20,1622.66
02/21/20,1631.45
02/20/20,1669.6
02/19/20,1676.29
