Month,Index number of sales per week
Jun 20,59.1
May 20,35.7
Apr 20,32.3
Mar 20,56.0
Feb 20,88.5
Jan 20,113.0
Dec 19,105.2
Nov 19,98.1
Oct 19,85.1
Sep 19,82.0
Aug 19,80.6
Jul 19,79.0
Jun 19,80.0
May 19,77.8
Apr 19,81.3
Mar 19,93.7
Feb 19,77.0
Jan 19,86.4
Dec 18,92.3
Nov 18,90.5
Oct 18,91.5
Sep 18,95.4
Aug 18,95.6
Jul 18,94.6
Jun 18,91.0
May 18,96.5
Apr 18,102.0
Mar 18,94.8
Feb 18,93.2
Jan 18,93.3
Dec 17,91.8
Nov 17,95.0
Oct 17,102.1
Sep 17,94.3
Aug 17,97.4
Jul 17,98.0
Jun 17,98.4
May 17,91.1
Apr 17,94.0
Mar 17,83.9
Feb 17,93.9
Jan 17,96.3
Dec 16,97.3
Nov 16,97.9
Oct 16,98.3
Sep 16,97.1
Aug 16,94.0
July 16,98.4
June 16,97.4
May 16,105.2
April 16,102.9
Mar 16,102.6
Feb 16,106.3
Jan 16,104.1
