Month,Number of people hospitalized
Jan 06 '21,16726
Jan 05 '21,17057
Jan 04 '21,17191
Jan 03 '21,17130
Jan 02 '21,16786
Jan 01 '21,16601
Dec 31,16757
Dec 30,16970
Dec 29,17228
Dec 28,17299
Dec 27,17078
Dec 26,16686
Dec 25,16457
Dec 24,16735
Dec 23,17239
Dec 22,17794
Dec 21,18521
Dec 20,18376
Dec 19,18180
Dec 18,18342
Dec 17,18542
Dec 16,18707
Dec 15,18899
Dec 14,19210
Dec 13,18813
Dec 12,18533
Dec 11,18778
Dec 10,18941
Dec 09,19131
Dec 08,19459
Dec 07,19917
Dec 06,19917
Dec 05,19363
Dec 04,19895
Dec 03,20135
Dec 02,20477
Dec 01,20855
Nov 30,21351
Nov 29,21504
Nov 28,21059
Nov 27,21476
Nov 26,21691
Nov 25,21636
Nov 24,22119
Nov 23,22405
Nov 22,22234
Nov 21,22094
Nov 20,22478
Nov 19,22643
Nov 18,22536
Nov 17,22812
Nov 16,23033
Nov 15,22458
Nov 14,21988
Nov 13,22320
Nov 12,22298
Nov 11,21899
Nov 10,21521
Nov 09,21640
Nov 08,20967
Nov 07,20214
Nov 06,20249
Nov 05,19479
Nov 04,19114
Nov 03,18654
Nov 02,18160
Nov 01,17223
Oct 31,16427
Oct 30,16144
Oct 29,15444
Oct 28,14631
Oct 27,13931
Oct 26,13291
Oct 25,12282
Oct 24,11887
Oct 23,11396
Oct 22,10788
Oct 21,10091
Oct 20,9439
Oct 19,8962
Oct 18,8375
Oct 17,8076
Oct 16,7512
Oct 15,6980
Oct 14,6538
Oct 13,6084
Oct 12,5669
Oct 11,5262
Oct 10,4924
Oct 09,4725
Oct 08,4407
Oct 07,4138
Oct 06,4000
Oct 05,3719
Oct 04,3158
Oct 03,2977
Oct 02,2850
Oct 01,2702
Sep 30,2560
Sep 29,2481
Sep 28,2399
Sep 27,2305
Sep 26,2223
Sep 25,2134
Sep 24,1995
Sep 23,1964
Sep 22,1971
Sep 21,1993
Sep 20,1979
Sep 19,1985
Sep 18,1977
Sep 17,1925
Sep 16,1917
Sep 15,2007
Sep 14,1996
Sep 13,1972
Sep 12,1961
Sep 11,1946
Sep 10,1957
Sep 09,1924
Sep 08,2070
Sep 07,2042
Sep 06,2113
Sep 05,2091
Sep 04,2090
Sep 03,2179
Sep 02,2170
Sep 01,2168
Aug 31,2138
Aug 30,2249
Aug 29,2242
Aug 28,2237
Aug 27,2221
Aug 26,2185
Aug 25,2170
Aug 24,2167
Aug 23,2207
Aug 22,2195
Aug 21,2189
Aug 20,2151
Aug 19,2110
Aug 18,2097
Aug 17,2057
Aug 16,2040
Aug 15,2035
Aug 14,2028
Aug 13,2040
Aug 12,2059
Aug 11,2021
Aug 10,1985
Aug 09,1929
Aug 08,1930
Aug 07,1928
Aug 06,1928
Aug 05,1913
Aug 04,1898
Aug 03,1859
Aug 02,1841
Aug 01,1835
Jul 31,1841
Jul 30,1778
Jul 29,1694
Jul 28,1687
Jul 27,1655
Jul 26,1625
Jul 25,1601
Jul 24,1594
Jul 23,1617
Jul 22,1626
Jul 21,1644
Jul 20,1607
Jul 19,1575
Jul 18,1560
Jul 17,1551
Jul 16,1604
Jul 15,1550
Jul 14,1575
Jul 13,1581
Jul 12,1640
Jul 11,1610
Jul 10,1617
Jul 09,1597
Jul 08,1687
Jul 07,1683
Jul 06,1658
Jul 05,1790
Jul 04,1765
Jul 03,1731
Jul 02,1743
Jul 01,1787
Jun 30,1923
Jun 29,1811
Jun 28,1797
Jun 27,1845
Jun 26,1869
Jun 25,1933
Jun 24,1974
Jun 23,1965
Jun 22,1936
Jun 21,1899
Jun 20,1877
Jun 19,1931
Jun 18,1886
Jun 17,1849
Jun 16,1693
Jun 15,1806
Jun 14,1736
Jun 13,1748
Jun 12,1711
Jun 11,1629
Jun 10,1700
Jun 09,1993
Jun 08,2039
Jun 07,1881
Jun 06,2007
Jun 05,2128
Jun 04,2085
Jun 03,2101
Jun 02,2150
Jun 01,2219
May 31,2181
May 30,2134
May 29,2207
May 28,2035
May 27,2248
May 26,2320
May 25,2171
May 24,2268
May 23,2242
May 22,2271
May 21,2261
May 20,2330
May 19,2414
May 18,2490
May 17,2544
May 16,2459
May 15,2407
May 14,2579
May 13,2538
May 12,2648
May 11,2571
May 10,2598
May 09,2658
May 08,2768
May 07,2758
May 06,2711
May 05,2760
May 04,2738
May 03,2653
May 02,2761
May 01,2649
Apr 30,2789
Apr 29,3012
Apr 28,2973
Apr 27,2934
Apr 26,2759
Apr 25,2749
Apr 24,2821
Apr 23,3095
Apr 22,3099
Apr 21,3505
Apr 20,2914
Apr 19,2511
Apr 18,2483
Apr 17,2725
Apr 16,2673
Apr 15,2607
Apr 14,2499
Apr 13,2471
Apr 12,2510
Apr 11,2481
Apr 10,2426
Apr 09,2409
Apr 08,2473
Apr 07,2425
Apr 06,2476
Apr 05,2444
Apr 04,2434
Apr 03,2303
Apr 02,2158
Apr 01,2317
Mar 30,1900
Mar 29,1879
Mar 28,1719
Mar 27,1696
Mar 26,1606
Mar 25,1615
Mar 24,1479
Mar 23,1138
Mar 22,1084
Mar 21,1047
Mar 20,898
Mar 19,871
Mar 18,923
Mar 17,822
Mar 16,734
Mar 15,768
Mar 14,526
Mar 13,521
Mar 12,384
Mar 11,317
Mar 10,220
Mar 09,467
Mar 08,168
Mar 07,146
Mar 06,128
Mar 05,92
Mar 04,65
Mar 03,68
