product category,Sales in billion South Korean won
Travel arrangement and transportation services,17475.9
"Home electric appliances, electronic and telecommunication equipment",14569.98
Clothing,14496.48
Food & beverages,13428.73
Cosmetics,12382.22
Household goods,10046.12
Food services,9732.84
Computers and computer-related appliances,5754.22
Sports and leisure appliances,4183.29
Goods for infants and children,4005.3
"Agriculture, livestock and fishery products",3534.2
Furniture,3475.59
E-coupon services,3323.93
Others,3164.52
Luggage,2607.22
Fashion and accessories,2539.57
Culture and leisure services,2212.73
Footwear,2121.11
Books,1858.71
Motor vehicles and motor vehicle parts & accessories,1332.4
Miscellaneous services,1154.45
Office appliances and stationery,940.96
Pet products,923.59
