Response,Share of respondents
Avoid kissing people they don't know,95%
Avoid handshakes with people they don't know,95%
Maintain a minimum distance to people who seem sick,91%
Avoid handshakes with people they know,90%
Avoid kissing people they know,86%
Wash their hands when they come home,86%
Wash their hands before eating,81%
Wash their hands after touching products coming from outside,74%
Manage to keep a safe 1m distance to everybody they approach outside their home,71%
Cough or sneeze into their elbow/tissue,69%
Cough sneeze or spit into disposable tissues,63%
Wash their hands after blowing their nose,56%
"Manage to not touch their nose, eyes and mouth when outside of their home",28%
Wear gloves to go outside,14%
Wear protective masks when going outside,9%
