Year,Cumulative number of COVID-19 tests
30 July,53825445
29 July,52985577
28 July,52252334
27 July,51491494
26 July,50635683
25 July,49838094
24 July,48794970
23 July,48020777
22 July,46469524
21 July,46469524
20 July,45734327
19 July,44965504
18 July,44203733
17 July,43351945
16 July,42521027
15 July,41764557
14 July,41004275
13 July,40282176
12 July,39553395
11 July,38919421
10 July,38032966
9 July,37431666
8 July,36878106
7 July,36225015
6 July,35513937
5 July,35512916
4 July,34213497
3 July,33462181
2 July,32827359
1 July,32206245
30 June,31557407
29 June,30988013
28 June,30401644
27 June,29810767
26 June,29207820
25 June,28567355
24 June,28065065
23 June,27553581
22 June,27084900
21 June,26566553
20 June,25982613
19 June,25403498
18 June,24937877
17 June,24449307
16 June,23984592
15 June,23535104
14 June,23040304
13 June,22517262
12 June,21933301
11 June,21467820
10 June,21048183
9 June,20615303
8 June,20235678
7 June,19778873
6 June,19231444
5 June,18680529
4 June,18214950
3 June,17757838
2 June,17340682
1 June,16936891
31 May,16495443
30 May,16099515
29 May,15646041
28 May,15192481
27 May,14907041
26 May,14604942
25 May,14163915
24 May,13784786
23 May,13398624
22 May,13056206
21 May,12647791
20 May,12233987
19 May,11834508
18 May,11499203
17 May,11077179
16 May,10720185
15 May,10341775
14 May,9974831
13 May,9637930
12 May,9382235
11 May,8987524
10 May,8987524
9 May,8709630
8 May,8105513
7 May,7759771
6 May,7544328
5 May,7285178
4 May,7123222
3 May,6816347
2 May,6551810
1 May,6322198
30 April,6231182
29 April,6231182
28 April,6231182
27 April,5795728
26 April,5593495
25 April,5184635
24 April,4883802
23 April,4493106
22 April,4163464
21 April,4035860
20 April,3893815
19 April,3723634
18 April,3574392
17 April,3423034
16 April,3262921
15 April,3138413
14 April,2973208
13 April,2821149
12 April,2688766
11 April,2544935
10 April,2383592
09 April,2233925
08 April,2079943
07 April,1951044
06 April,1785406
05 April,1644200
04 April,1438455
03 April,1290619
02 April,1267541
01 April,1064506
31 March,1048971
30 March,856546
29 March,766761
28 March,672449
27 March,540718
26 March,484062
25 March,418810
24 March,357907
23 March,238632
22 March,191541
21 March,150613
20 March,135185
19 March,96262
18 March,31878
17 March,31978
16 March,31878
15 March,31873
14 March,31633
13 March,29970
12 March,26235
11 March,22338
10 March,19007
09 March,16051
08 March,13192
07 March,11678
06 March,10145
05 March,8399
04 March,6811
03 March,5652
02 March,4833
01 March,4220
