Response,Share of enterprises
"Decrease in demand (less customers, orders etc.)",72%
We need to shut down the company due to the emergency measures,35%
The ban on public events and shortened opening times hinder our business,21%
The enterprises we deliver to order less,19%
Import substitution is necessary,10%
Foreign factories and customers order less,8%
There is a lack of workforce,6%
"Prices in the sector decreased, which caused a decrease in profitability",6%
The virus does not have any negative effects,2%
The foreign parent company reduced its orders,2%
