profession,Average annual pay in U.S. dollars
Chief Executives,193850
Computer and Information Systems Managers,156390
Architectural and Engineering Managers,152930
Marketing Managers,149200
Financial Managers,147530
Natural Sciences Managers,145450
Advertising and Promotions Managers,141890
Sales Managers,141690
Compensation and Benefits Managers,134210
Public Relations and Fundraising Managers,132630
Human Resources Managers,129570
Purchasing Managers,128400
Training and Development Managers,123470
General and Operations Managers,123030
"Managers, All Other",118710
Medical and Health Services Managers,115160
Industrial Production Managers,115110
"Education Administrators, Postsecondary",112400
Administrative Services Managers  and Facilities Managers,106550
Construction Managers,105000
"Transportation, Storage, and Distribution Managers",103320
"Education Administrators, Elementary and Secondary School",100340
Funeral Home Managers,95220
"Education Administrators, All Other",92150
Gambling Managers,84700
Emergency Management Directors,82530
"Farmers, Ranchers, and Other Agricultural Managers",80360
Postmasters and Mail Superintendents,78220
Social and Community Service Managers,72900
"Property, Real Estate, and Community Association Managers",71720
Lodging Managers,63570
Food Service Managers,59820
"Education Administrators, Preschool and Childcare Center/Program",53690
Legislators,49440
