Response,Percentage of religious population
Utah,79.1%
North Dakota,67.1%
Alabama,62.9%
Louisiana,60.6%
Oklahoma,59.3%
Mississippi,58.7%
South Dakota,58.6%
Massachusetts,57.2%
Minnesota,56.3%
Nebraska,55.7%
Texas,55.7%
Tennessee,55.5%
Arkansas,55.4%
Illinois,55.3%
District of Columbia,55.2%
Rhode Island,54.8%
New Jersey,54.7%
Iowa,53.9%
Pennsylvania,53.8%
Wisconsin,53.6%
South Carolina,52.2%
Kentucky,51.6%
New York,51.2%
Connecticut,51.2%
Idaho,51.1%
Georgia,50.8%
Kansas,50.6%
New Mexico,50.1%
Missouri,49.3%
North Carolina,47.5%
California,45%
Virginia,44.8%
Indiana,44.3%
Ohio,44%
Michigan,42.1%
Delaware,41.8%
Maryland,41.8%
Hawaii,41.3%
Wyoming,39.6%
Florida,39.1%
Montana,38.1%
Colorado,37.8%
Arizona,37.2%
West Virginia,35.5%
New Hampshire,35.2%
Washington,34.6%
Nevada,34.4%
Alaska,33.9%
Vermont,33.6%
Oregon,31.2%
Maine,27.6%
