Response,Share of respondents
Deliberately making inflammatory statements,52%
Being abusive to someone because of their opinion,54%
Picking on another person or small group of people for any reason,50%
Deliberately making controversial statements,42%
"Using a comments section or chatroom to further one's own opinion, even if it has nothing to do with the topic of said comments section/chatroom",35%
"Calling someone else (e.g. fellow commentator, article writer, etc.) an offensive name",47%
Belittling someone for not understanding a concept or previously presented piece of information,46%
Being stubborn about one's own opinion,17%
Other,2%
Not applicable - no behavior constitutes internet trolling,5%
Don't know,14%
