Industry,Real value added in billion chained (2012) U.S. dollars
"Mining, quarrying, and oil and gas extraction",12.35
Government and government enterprises,9.84
Transportation and warehousing,5.84
"Finance, insurance, real estate, rental, and leasing",5.63
"Educational services, health care, and social assistance",4.18
Professional and business services,3.07
Retail trade,2.27
Manufacturing,1.94
"Arts, entertainment, recreation, accommodation, and food services",1.57
Information,1.28
Construction,1.53
Wholesale trade,1.31
Utilities,0.72
"Agriculture, forestry, fishing, and hunting",0.36
