Industry,Real value added in billion chained (2012) U.S. dollars
"Finance, insurance, real estate, rental, and leasing",38.88
Manufacturing,30.06
Government and government enterprises,19.16
"Agriculture, forestry, fishing, and hunting",13.37
"Educational services, health care, and social assistance",13.02
Professional and business services,12.09
Wholesale trade,9.99
Retail trade,9.65
Construction,5.96
Transportation and warehousing,5.34
Information,5.3
"Arts, entertainment, recreation, accommodation, and food services",4.55
Utilities,2.9
"Mining, quarrying, and oil and gas extraction",0.46
