association football venue,Capacity
Signal Iduna Park (Borussia Dortmund),81365
Allianz Arena (FC Bayern Munich),75024
Olympiastadion (Hertha BSC Berlin),74400
Veltins Arena (FC Schalke 04),62271
Mercedes-Benz Arena (VfB Stuttgart),60449
Borussia-Park (Borussia Mönchengladbach),54022
Deutsche Bank Park (Eintracht Frankfurt),51500
Red Bull Arena (Leipzig),42558
Wohninvest Weserstadion (SV Werder Bremen),42100
Opel Arena (1. FSV Mainz 05),34000
WWK Arena (FC Augsburg),30660
WWK ARENA (FC Augsburg),30660
BayArena (Bayer 04 Leverkusen),30210
PreZero Arena (TSG Hoffeneim),30150
Volkswagen Arena (VfL Wolfsburg),30000
SchücoArena (Arminia Bielefeld),26515
Schwarzwald Stadion (SC Freiburg),24000
An der Alten Försterei (1. FC Union Berlin),22012
