county of New York,"Number of cases per 100,000 people"
"Trousdale, Tenn.",14593
"Lake, Tenn.",9620
"Dakota, Neb.",8466
"Nobles, Minn.",7313
"Lincoln, Ark.",7192
"Buena Vista, Iowa",6027
"Colfax, Neb.",5911
"Ford, Kan.",5382
"Texas, Okla.",4484
"Bledsoe, Tenn.",4198
"Cass, Ind.",4191
"Finney, Kan.",4156
"Marion, Ohio",4123
"Rockland, N.Y.",4121
"Seward, Kan.",3966
"Moore, Texas",3908
"McKinley, N.M.",3769
"Pickaway, Ohio",3671
"Echols, Ga.",3655
"Saline, Neb.",3625
"Dawson, Neb.",3541
"Westchester, N.Y.",3509
"Crawford, Iowa",3362
"Richmond, Va.",3300
"Passaic, N.J.",3266
"Jones, Texas",3202
"Louisa, Iowa",3119
"Nassau, N.Y.",3018
"Manassas, Va.",3010
"Accomack, Va.",3002
"Union, N.J.",2937
"Logan, Colo.",2909
"Lowndes, Ala.",2872
"St. Francis, Ark.",2871
"Woodbury, Iowa",2870
"Buckingham, Va.",2829
"Orange, N.Y.",2786
"Hudson, N.J.",2779
"East Carroll, La.",2754
"Suffolk, N.Y.",2714
"Neshoba, Miss.",2628
"Liberty, Fla.",2606
"Walker, Texas",2587
"Randolph, Ga.",2582
"Hall, Neb.",2554
"Holmes, Miss.",2550
"New York City, N.Y.",2512
"Terrell, Ga.",2449
"Tama, Iowa",2433
"Apache, Ariz.",2422
