Brand/Segment,Sales share
Neutrogena/ makeup remover implements,46.6%
CoverGirl Last Blast/ mascara,6%
Revlon Super Lustrous/ lipstick,11%
L'Oréal Voluminous/ mascara,5.8%
Maybelline Volum'Express Falsies/ mascara,5.5%
CoverGirl Clean/ powder,15.5%
Revlon ColorStay/ foundation,5.3%
Maybelline Great Lash/ mascara,5.2%
CoverGirl Outlast/ lipstick,9.6%
CoverGirl Clean/ foundation,5%
Revlon ColorStay/ eyeliner,8.2%
L'Oréal True Match/ foundation,4.8%
L'Oréal Colour Riche/ lipstick,9%
CoverGirl Perfect Point Plus/ eyeliner,7.5%
Maybelline Volum'Express Colossal/ mascara,4.4%
Maybelline Color Sensational/ lipstick,7.6%
L'Oréal True Match/ powder,11%
Maybelline Expert Wear/ eyeshadow,11.4%
Maybelline Volum'Express Rocket/ mascara,3.7%
CoverGirl Eye Enhancers/ eyeshadow,11.1%
