art museum,Attendance in thousands
"Louvre, Paris",9600
"Vatican Museums, Vatican",6883
"British Museum, London",6208
"Tate Modern, London",6098
"National Gallery, London",6011
"Natural History Museum, London",5424
"State Hermitage, St Petersburg",4957
"Reina Sofia, Madrid",4426
"Victoria and Albert Museum, London",3921
"Musée D'Orsay, Paris",3652
"Centre Pompidou, Paris",3270
"Science Museum (South Kensington), London",3254
"Museo Nacional Del Prado, Madrid",3203
"State Tretyakov Gallery, Moscow",2836
"Rijksmuseum, Amsterdam",2700
"Cité des Sciences et de l'Industrie, Paris",2370
"Galleria Degli Uffizi, Florence",2362
"Auschwitz-Birkenau Museum, Oświęcim",2300
"National Museum of Scotland, Edinburgh",2210
"Van Gogh Museum, Amsterdam",2100
