State,Number of registered weapons
Texas,830109
Florida,497078
Virginia,390946
California,386795
Pennsylvania,317858
Georgia,251503
Arizona,224266
North Carolina,196237
Ohio,187478
Alabama,177732
Illinois,150212
Indiana,142961
Wyoming,137346
Washington,136731
Tennessee,132471
Louisiana,127434
Maryland,126767
Colorado,126081
New Mexico,116045
Minnesota,107743
Nevada,104998
South Carolina,103881
Arkansas,103641
Kentucky,99305
Missouri,98828
Utah,97550
New Jersey,95848
Michigan,93297
Oklahoma,90884
New York,87766
Wisconsin,83236
Oregon,83141
Connecticut,75278
Idaho,69405
Mississippi,69034
District of Columbia,64273
New Hampshire,63713
Kansas,60783
Iowa,46613
West Virginia,44739
Massachusetts,39779
South Dakota,37479
Nebraska,34035
Montana,27467
North Dakota,24365
Alaska,23455
Maine,18695
Hawaii,9196
Vermont,8367
Delaware,5565
Rhode Island,4784
*Other US Territories,871
