Year,Inflation rate compared to previous year
2025*,12.21%
2024*,12.21%
2023*,12.21%
2022*,15.12%
2021*,15.12%
2020*,22.26%
2019,4.56%
2018,-1.2%
2017,28.05%
2016,24.01%
2015,14.85%
2014,2.43%
2013,2.59%
2012,6.07%
2011,15.9%
2010,2.46%
2009,2.45%
2008,10.4%
2007,6.21%
2006,1.47%
2005,2.66%
2004,1.25%
2003,-2.06%
2002,-9.86%
2001,-8.84%
2000,-2.91%
1999,2.57%
1998,3.72%
1997,3.59%
1996,4%
1995,8.34%
1994,10.67%
1993,7.47%
1992,9.45%
1991,11.7%
1990,0.72%
1989,4.46%
1988,3.13%
1987,4.42%
1986,3.38%
1985,9.11%
