Quarter,Balance in billion U.S. dollars
Q3 '20,-188.41
Q2 '20,-158.69
Q1 '20,-126.48
Q4 '19,-129.76
Q3 '19,-149.66
Q2 '19,-152.21
Q1 '19,-145.24
Q4 '18,-158.45
Q3 '18,-152.41
Q2 '18,-130.23
Q1 '18,-138.85
Q4 '17,-135.31
Q3 '17,-125.54
Q2 '17,-129.62
Q1 '17,-123.33
Q4 '16,-125.17
Q3 '16,-117.65
Q2 '16,-118.57
Q1 '16,-119.79
Q4 '15,-122.59
Q3 '15,-126.32
Q2 '15,-120.91
Q1 '15,-121.45
Q4 '14,-123.75
Q3 '14,-117.59
Q2 '14,-122.26
Q1 '14,-120.54
Q4 '13,-103.93
Q3 '13,-112.89
Q2 '13,-114.59
Q1 '13,-115.42
Q4 '12,-123.13
Q3 '12,-125.23
Q2 '12,-134.89
Q1 '12,-142.66
Q4 '11,-142.44
Q3 '11,-134.6
Q2 '11,-140.29
Q1 '11,-137.19
Q4 '10,-121.11
Q3 '10,-131.56
Q2 '10,-130.9
Q1 '10,-119.52
