Year,Number of deaths
1/8/2021,16506
1/5/2021,16178
1/2/2021,15919
12/30/2020,15596
12/27/2020,15203
12/24/2020,14912
12/21/2020,14481
12/18/2020,14157
12/15/2020,13698
12/12/2020,13264
12/9/2020,12821
12/6/2020,12320
12/3/2020,11876
11/30/2020,11331
11/27/2020,10884
11/24/2020,10373
11/21/2020,9916
11/18/2020,9429
11/15/2020,8926
11/12/2020,8510
11/9/2020,8009
11/6/2020,7663
11/3/2020,7273
10/31/2020,6968
10/28/2020,6681
10/25/2020,6391
10/22/2020,6163
10/18/2020,5872
10/14/2020,5601
10/10/2020,5358
10/6/2020,5121
10/2/2020,4915
9/28/2020,4748
9/24/2020,4591
9/20/2020,4435
9/16/2020,4285
9/12/2020,4127
9/8/2020,3967
9/4/2020,3812
8/31/2020,3621
8/27/2020,3459
8/23/2020,3272
8/19/2020,3106
8/15/2020,2954
8/11/2020,2764
8/7/2020,2616
8/3/2020,2432
7/30/2020,2304
7/26/2020,2187
7/22/2020,2101
7/18/2020,2009
7/14/2020,1931
7/10/2020,1847
7/6/2020,1768
7/2/2020,1687
6/28/2020,1612
6/24/2020,1555
6/20/2020,1500
6/15/2020,1427
6/11/2020,1369
6/7/2020,1326
6/3/2020,1288
5/30/2020,1253
5/25/2020,1193
5/21/2020,1151
5/17/2020,1097
5/13/2020,1016
5/9/2020,926
5/5/2020,827
5/1/2020,726
