State,Tax revenue in billion U.S. dollars
California,188.24
New York,91.62
Texas,63.33
Florida,44.8
Pennsylvania,43.13
Illinois,42.5
New Jersey,38.84
Massachusetts,31.81
Michigan,30.27
Ohio,30.15
North Carolina,29.32
Minnesota,28.18
Washington,27.99
Virginia,26.29
Georgia,24.71
Maryland,23.61
Indiana,20.17
Wisconsin,20.04
Arizona,18.16
Connecticut,17.99
Colorado,15.87
Tennessee,14.83
Oregon,13.96
Missouri,13.18
Kentucky,12.9
Louisiana,11.75
Alabama,11.58
South Carolina,11.22
Oklahoma,10.73
Iowa,10.58
Arkansas,10.22
Kansas,10.03
Utah,9.97
Nevada,9.74
DC,8.68
Mississippi,8.29
Hawaii,8.21
New Mexico,7.43
West Virginia,5.94
Nebraska,5.75
North Dakota,4.97
Idaho,4.88
Maine,4.67
Delaware,4.6
Rhode Island,3.72
Vermont,3.43
Montana,3.17
New Hampshire,2.97
Wyoming,2.11
South Dakota,1.94
Alaska,1.78
