bank,Number of employees
Wells Fargo Bank,232982
JPMorgan Chase Bank,201005
Citibank,158759
Bank of America,137072
U.S. Bank,68375
Truist Bank,53430
PNC Bank,51466
The Bank of New York Mellon,38549
Capital One,31396
State Street Bank and Trust Company,30424
TD Bank,25770
Capital One Bank (USA),24937
Fifth Third Bank,19841
The Northern Trust Company,19619
Regions Bank,19496
Citizens Bank,17878
Manufacturers and Traders Trust Company,16847
KeyBank,16578
The Huntington National Bank,14506
USAA Federal Savings Bank,13358
