Month,Index number of sales per week
Jun 20,127.5
May 20,94.9
Apr 20,85.6
Mar 20,120.0
Feb 20,117.2
Jan 20,114.9
Dec 19,120.1
Nov 19,119.1
Oct 19,114.4
Sep 19,121.1
Aug 19,109.3
Jul 19,110.3
Jun 19,105.6
May 19,110.5
Apr 19,108.1
Mar 19,119.6
Feb 19,106.2
Jan 19,105.4
Dec 18,102.9
Nov 18,113.1
Oct 18,107.5
Sep 18,108.0
Aug 18,111.6
Jul 18,108.0
Jun 18,107.9
May 18,106.7
Apr 18,109.2
Mar 18,106.8
Feb 18,106.1
Jan 18,107.0
Dec 17,104.5
Nov 17,108.6
Oct 17,106.1
Sep 17,104.4
Aug 17,106.7
Jul 17,105.3
Jun 17,105.7
May 17,101.0
Apr 17,104.4
Mar 17,104.6
Feb 17,103.5
Jan 17,103.8
Dec 16,100.8
Nov 16,100.4
Oct 16,101.4
Sep 16,102.7
Aug 16,98.6
July 16,102.1
June 16,102.7
May 16,107.3
April 16,90.4
Mar 16,96.4
Feb 16,98.5
Jan 16,98.2
