State,Number of hate groups
California,88
Florida,67
Texas,63
New York,44
Tennessee,38
Georgia,38
Virginia,36
Pennsylvania,36
North Carolina,32
Ohio,31
Washington,30
Michigan,27
Illinois,26
Colorado,22
Louisiana,21
Arizona,21
New Jersey,21
Missouri,21
Indiana,20
Maryland,20
District of Columbia,19
South Carolina,17
Alabama,16
Wisconsin,15
Kentucky,15
Arkansas,15
Massachusetts,15
Oregon,15
Mississippi,12
Minnesota,12
Oklahoma,10
Nevada,9
Connecticut,8
Idaho,7
Nebraska,6
Montana,6
Utah,5
Hawaii,4
New Hampshire,4
West Virginia,4
South Dakota,4
Kansas,3
Iowa,3
Delaware,3
Maine,2
Vermont,2
North Dakota,2
Alaska,2
Rhode Island,1
New Mexico,1
Wyoming,1
