Country,Index value*
Singapore,89.4
Hong Kong,89.1
New Zealand,84.1
Australia,82.6
Switzerland,82.0
Ireland,80.9
United Kingdom,79.3
Denmark,78.3
Canada,78.2
Estonia,77.7
Taiwan,77.1
Georgia,77.1
Iceland,77.1
Netherlands,77.0
Chile,76.8
Lithuania,76.7
United States,76.6
United Arab Emirates,76.2
Luxembourg,75.8
Finland,74.7
Mauritius,74.9
Sweden,74.9
Czech Republic,74.8
Malaysia,74.7
South Korea,74.0
Israel,74.0
Germany,73.5
Norway,73.4
Austria,73.3
Japan,73.3
Qatar,72.3
Latvia,71.9
Rwanda,70.9
Armenia,70.6
Macau,70.3
Bulgaria,70.2
Cyprus,70.1
Romania,69.7
Kazakhstan,69.6
Botswana,69.6
North Macedonia,69.5
Malta,69.5
Thailand,69.4
Azerbaijan,69.3
Colombia,69.2
Poland,69.1
Uruguay,69.1
Belgium,68.9
Jamaica,68.5
Saint Lucia,68.2
