Month,Index number of sales per week
Jun 20,72.9
May 20,60.0
Apr 20,40.7
Mar 20,85.1
Feb 20,104.6
Jan 20,103.2
Dec 19,109.0
Nov 19,106.7
Oct 19,108.1
Sep 19,106.6
Aug 19,108.5
Jul 19,108.8
Jun 19,108.6
May 19,107.7
Apr 19,108.7
Mar 19,108.8
Feb 19,108.9
Jan 19,106.3
Dec 18,106.6
Nov 18,104.3
Oct 18,100.7
Sep 18,102.0
Aug 18,102.1
Jul 18,101.8
Jun 18,102.8
May 18,102.2
Apr 18,100.3
Mar 18,96.5
Feb 18,102.1
Jan 18,100.6
Dec 17,101.0
Nov 17,102.2
Oct 17,101.9
Sep 17,100.9
Aug 17,100.1
Jul 17,100.0
Jun 17,99.0
May 17,102.7
Apr 17,100.0
Mar 17,94.6
Feb 17,98.0
Jan 17,98.8
Dec 16,98.3
Nov 16,99.5
Oct 16,101.8
Sep 16,101.0
Aug 16,101.1
Jul 16,100.2
Jun 16,98.7
May 16,99.8
Apr 16,98.5
Mar 16,100.3
Feb 16,97.8
Jan 16,103.3
