State,Number of insurers
Alabama,3
Alaska,2
Arizona,13
Arkansas,4
California,10
Colorado,12
Connecticut,4
Delaware,3
District of Columbia,4
Florida,14
Georgia,9
Hawaii,2
Idaho,5
Illinois,10
Indiana,9
Iowa,4
Kansas,5
Kentucky,5
Louisiana,6
Maine,3
Maryland,7
Massachusetts*,-
Michigan,16
Minnesota*,-
Mississsippi,3
Missouri,8
Montana,4
Nebraska,4
Nevada,5
New Hampshire,5
New Jersey,6
New Mexico,5
New York,17
North Carolina,3
North Dakota,3
Ohio,16
Oklahoma,7
Oregon,10
Pennsylvania,15
Rhode Island,3
South Carolina,5
South Dakota,3
Tennessee,5
Texas,16
Utah,6
Vermont,2
Virginia,9
Washington,10
West Virginia,2
Wisconsin,15
Wyoming,2
