Response,Share of GDP
Haiti,19.5%
Nicaragua,15.41%
Dominica,12.58%
Guyana,12.37%
Bolivia,12.22%
Honduras,10.72%
Suriname,10.39%
Paraguay,10.08%
Belize *,9.56%
Guatemala,9.37%
Ecuador,9%
Argentina,7.2%
St. Vincent and the Grenadines,7.15%
Peru *,6.89%
Colombia,6.74%
Jamaica,6.6%
Uruguay,5.9%
Grenada,5.84%
Dominican Republic,5.16%
El Salvador,5.08%
Brazil,4.44%
Costa Rica,4.25%
Cuba *,3.78%
Chile,3.54%
Mexico,3.47%
Panama,2.13%
St. Lucia,2.01%
Antigua and Barbuda,1.76%
Saint Kitts and Nevis,1.31%
Trinidad and Tobago *,1.03%
Bahamas*,0.89%
Puerto Rico *,0.78%
