Year,"Deaths per 1,000 live births"
2020,7.0
2015,7.0
2010,8.0
2005,8.0
2000,9.0
1995,10.0
1990,12.0
1985,14.0
1980,17.0
1975,21.0
1970,26.0
1965,29.0
1960,31.0
1955,35.0
1950,40.11
1945,51.26
1940,66.35
1935,75.93
1930,102.86
1925,139.79
1920,184.93
1915,179.99
1910,206.92
1905,220.32
1900,238.76
1895,256.72
1890,281.68
1885,327.29
1880,347.49
1875,325.81
1870,316.5
1865,325.74
1860,343.53
1855,374.17
1850,399.27
1845,416.08
1840,430.12
1835,440.01
1830,447.87
1825,452.68
1820,456.65
1815,459.34
1810,461.35
1805,462.31
1800,462.89
