State,"Property crime per 100,000 inhabitants"
District of Columbia,4367.1
Louisiana,3162.0
New Mexico,3112.7
South Carolina,2940.3
Alaska,2910.8
Arkansas,2858.0
Oklahoma,2845.3
Hawaii,2841.2
Oregon,2730.6
Washington,2681.9
Alabama,2674.4
Tennessee,2652.6
Missouri,2638.7
Colorado,2590.7
Arizona,2440.5
Texas,2390.7
Georgia,2375.8
Mississippi,2375.8
North Carolina,2357.3
California,2331.2
Nevada,2322.1
Kansas,2314.5
Delaware,2252.2
Montana,2193.2
Utah,2169.3
Florida,2145.7
United States,2109.9
Minnesota,2078.8
Ohio,2055.7
Nebraska,2039.3
North Dakota,1977.0
Indiana,1971.0
Maryland,1950.2
Kentucky,1897.4
Illinois,1846.5
South Dakota,1771.0
Iowa,1733.7
Virginia,1642.7
Michigan,1585.0
West Virginia,1583.4
Wyoming,1571.1
Rhode Island,1534.8
Wisconsin,1471.4
Connecticut,1426.6
Vermont,1424.4
Pennsylvania,1403.4
New York,1373.3
New Jersey,1335.7
Maine,1245.6
Idaho,1219.5
New Hampshire,1209.2
Massachusetts,1179.8
