Month,Number of people
Feb 28,1
Mar 10,2
Mar 13,3
Mar 14,1
Mar 15,5
Mar 16,5
Mar 17,9
Mar 18,8
Mar 19,14
Mar 20,15
Mar 21,36
Mar 22,30
Mar 23,50
Mar 24,30
Mar 25,70
Mar 26,20
Mar 27,55
Mar 28,28
Mar 29,78
Mar 30,24
Mar 31,49
Apr 1,48
Apr 2,68
Apr 3,47
Apr 4,75
Apr 5,40
Apr 6,32
Apr 7,37
Apr 8,32
Apr 9,42
Apr 10,44
Apr 11,27
Apr 12,28
Apr 13,9
Apr 14,8
Apr 15,21
Apr 16,37
Apr 17,21
Apr 18,90
Apr 19,59
Apr 20,28
Apr 21,24
Apr 22,20
Apr 23,28
Apr 24,12
Apr 25,16
Apr 26,12
Apr 27,11
Apr 28,5
Apr 29,31
Apr 30,10
May 1,14
May 2,7
May 3,4
May 4,9
May 5,4
May 6,5
May 7,5
May 8,3
May 9,8
May 10,35
May 11,6
May 12,6
May 13,14
May 14,6
May 15,12
May 16,11
May 17,7
May 18,6
May 19,15
May 20,15
May 21,16
May 22,11
May 23,12
May 24,7
May 25,12
May 26,4
May 27,8
May 28,9
May 29,6
May 30,8
May 31,5
Jun 1,3
Jun 2,4
Jun 3,2
Jun 4,3
Jun 5,7
Jun 6,11
Jun 7,9
Jun 8,6
Jun 9,7
Jun 10,6
Jun 11,19
Jun 12,4
Jun 13,1
Jun 14,5
Jun 15,5
Jun 16,3
Jun 17,2
Jun 18,6
Jun 19,8
Jun 20,3
Jun 21,3
Jun 22,3
Jun 23,2
Jun 24,1
Jun 25,2
Jun 26,2
Jun 29,1
Jun 30,1
Jul 1,1
Jul 3,3
Jul 10,4
Jul 13,5
Jul 20,15
Jul 27,11
Aug 1,18
Aug 2,17
Aug 3,10
Aug 6,24
Aug 7,23
Aug 8,37
Aug 9,21
Aug 12,26
Aug 13,21
Aug 15,34
Aug 16,30
Aug 17,20
Aug 18,38
Aug 19,22
Aug 20,32
Aug 21,36
Aug 22,30
Aug 23,41
Aug 29,29
Aug 30,35
Sep 3,20
Sep 4,26
Sep 5,36
Sep 6,43
Sep 14,51
Sep 20,80
Sep 30,115
Oct 1,91
Oct 5,100
Oct 10,204
Oct 11,160
Oct 16,281
Oct 17,228
Oct 18,252
Oct 19,205
Oct 29,950
Oct 30,735
Oct 31,1001
Nov 01,895
Nov 02,837
Nov 03,897
Nov 04,639
Nov 05,999
Nov 06,1656
Nov 07,1972
Nov 08,1980
Nov 09,1033
Nov 10,1109
Nov 11,1418
Nov 12,1553
Nov 13,2044
Nov 14,1530
Nov 16,1151
Nov 18,1937
Nov 19,1673
