YouTube video,Number of views in billions
"""Baby Shark Dance"" - Pinkfong Kids' Songs & Stories",7.05
"""Despacito""- Luis Fonsi featuring Daddy Yankee",7.04
"""Shape of You"" - Ed Sheeran",5.05
"""See You Again"" - Wiz Khalifa featuring Charlie Puth",4.79
"""Masha and the Bear – Recipe for Disaster"" - Get Movies",4.36
"""Johny Johny Yes Papa"" - LooLoo Kids",4.14
"""Uptown Funk"" - Mark Ronson featuring Bruno Mars",3.99
"""Gangnam Style"" - Psy",3.84
"""Learning Colors - Colorful Eggs on a Farm"" - Miroshka TV",3.65
"""Sorry"" - Justin Bieber",3.36
