Month,EUR/GBP exchange rate
Oct 2020,0.91
Sep 2020,0.91
Aug 2020,0.9
Jul 2020,0.9
Jun 2020,0.9
May 2020,0.89
Apr 2020,0.88
Mar 2020,0.89
Feb 2020,0.84
Jan 2020,0.85
Dec 2019,0.85
Nov 2019,0.86
Oct 2019,0.88
Sep 2019,0.89
Aug 2019,0.92
Jul 2019,0.9
Jun 2019,0.89
May 2019,0.87
Apr 2019,0.86
Mar 2019,0.86
Feb 2019,0.87
Jan 2019,0.89
Dec 2018,0.9
Nov 2018,0.88
Oct 2018,0.88
Sep 2018,0.89
Aug 2018,0.9
Jul 2018,0.89
Jun 2018,0.88
May 2018,0.88
Apr 2018,0.87
Mar 2018,0.88
Feb 2018,0.88
Jan 2018,0.88
Dec 2017,0.88
Nov 2017,0.89
Oct 2017,0.89
Sep 2017,0.89
Aug 2017,0.91
Jul 2017,0.89
Jun 2017,0.88
May 2017,0.86
Apr 2017,0.85
Mar 2017,0.87
Feb 2017,0.85
Jan 2017,0.86
Dec 2016,0.84
Nov 2016,0.87
Oct 2016,0.89
Sep 2016,0.85
Aug 2016,0.86
Jul 2016,0.84
Jun 2016,0.79
May 2016,0.78
Apr 2016,0.79
Mar 2016,0.78
Feb 2016,0.78
Jan 2016,0.75
Dec 2015,0.73
Nov 2015,0.71
Oct 2015,0.73
Sep 2015,0.73
Aug 2015,0.71
Jul 2015,0.71
Jun 2015,0.72
May 2015,0.72
Apr 2015,0.72
Mar 2015,0.72
Feb 2015,0.74
Jan 2015,0.77
Dec 2014,0.79
Nov 2014,0.79
Oct 2014,0.79
Sep 2014,0.79
Aug 2014,0.8
Jul 2014,0.79
Jun 2014,0.8
May 2014,0.82
Apr 2014,0.83
Mar 2014,0.83
Feb 2014,0.83
Jan 2014,0.83
Dec 2013,0.84
Nov 2013,0.84
Oct 2013,0.85
Sep 2013,0.84
Aug 2013,0.86
Jul 2013,0.86
Jun 2013,0.85
May 2013,0.85
Apr 2013,0.85
Mar 2013,0.86
Feb 2013,0.86
Jan 2013,0.83
Dec 2012,0.81
Nov 2012,0.8
Oct 2012,0.81
Sep 2012,0.8
Aug 2012,0.79
Jul 2012,0.79
Jun 2012,0.81
May 2012,0.8
Apr 2012,0.82
Mar 2012,0.83
Feb 2012,0.84
Jan 2012,0.83
Dec 2011,0.84
Nov 2011,0.86
Oct 2011,0.87
Sep 2011,0.87
Aug 2011,0.88
Jul 2011,0.88
Jun 2011,0.89
May 2011,0.88
Apr 2011,0.88
Mar 2011,0.87
Feb 2011,0.85
Jan 2011,0.85
Dec 2010,0.85
Nov 2010,0.86
Oct 2010,0.88
Sep 2010,0.84
Aug 2010,0.82
Jul 2010,0.84
Jun 2010,0.83
May 2010,0.86
Apr 2010,0.87
Mar 2010,0.9
Feb 2010,0.88
Jan 2010,0.88
Dec 2009,0.9
Nov 2009,0.9
Oct 2009,0.92
Sep 2009,0.89
Aug 2009,0.86
Jul 2009,0.86
Jun 2009,0.86
May 2009,0.88
Apr 2009,0.9
Mar 2009,0.92
Feb 2009,0.89
Jan 2009,0.92
Dec 2008,0.9
Nov 2008,0.83
Oct 2008,0.79
Sep 2008,0.8
Aug 2008,0.79
Jul 2008,0.79
Jun 2008,0.79
May 2008,0.79
Apr 2008,0.79
Mar 2008,0.77
Feb 2008,0.75
Jan 2008,0.75
Dec 2007,0.72
Nov 2007,0.71
Oct 2007,0.7
Sep 2007,0.69
Aug 2007,0.68
Jul 2007,0.67
Jun 2007,0.68
May 2007,0.68
Apr 2007,0.68
Mar 2007,0.68
Feb 2007,0.67
Jan 2007,0.66
Dec 2006,0.67
