business,Percentage dividend yield
Repsol SA,12.84%
Bankia SA,12.35%
Sabadell SA,9.88%
Telefónica SA,9.73%
ACS SA,9.54%
Mediaset SA,9.41%
Naturgy SA,9.41%
Mapfre SA,8.7%
Enagas SA,8.59%
Endesa SA,7.9%
Acerinox SA,7.58%
Merlin Prop SA,6.98%
REE SA,6.63%
Bankinter SA,6.15%
BBVA SA,6.01%
Caixabank SA,5.5%
Santander SA,5.1%
CIE Automotive SA,4.74%
Iberdrola SA,4.67%
Accciona SA,4.24%
AENA SA,4.07%
Inditex SA,3.68%
Viscofan SA,3.26%
Ferrovial SA,3.2%
Ence SA,2.99%
Melia Hotels INTL SA,2.86%
Immobiliaria Colonial SA,2.76%
Grifols SA,1.37%
Amadeus IT Group SA,1.21%
Siemens Gamesa SA,0.18%
Cellnex Telecom SA,0.16%
Indra SA,0%
IAG (Iberia) SA,0%
Arcelormittal SA,0%
Técnicas Reunidas SA,0%
