Year,Inflation rate compared to previous year
2025*,2.5%
2024*,2.5%
2023*,2.5%
2022*,2.5%
2021*,2%
2020*,2%
2019,-3.23%
2018,1.96%
2017,0.35%
2016,-0.19%
2015,0.91%
2014,-0.26%
2013,0.53%
2012,3.82%
2011,2.77%
2010,-0.61%
2009,0.86%
2008,10.67%
2007,-0.23%
2006,2.34%
2005,6.41%
2004,-0.4%
2003,2.04%
2002,2.3%
2001,4.73%
2000,-0.17%
1999,-1.08%
1998,4.91%
1997,2.93%
1996,6.11%
1995,7.77%
1994,24.72%
1993,0.61%
1992,-1.99%
1991,2.5%
1990,-0.81%
1989,-0.32%
1988,4.19%
1987,-2.85%
1986,-2.7%
1985,7.05%
