municipiu of Romania,Number of employees
Constanța,1380
Dolj,1042
Neamț,959
Suceava,897
Sibiu,870
Iași,737
Bucuresti,736
Prahova,550
Botosani,517
Timiș,478
Bihor,455
Galați,409
Brașov,392
Arad,311
Cluj,310
Olt,274
Vrancea,270
Bistrița-Năsăud,215
Harghita,193
Buzau,183
Hunedoara,180
Bacău,171
Vaslui,170
Caraș-Severin,170
Mureș,141
Ialomița,114
Argeș,96
Salaj,91
Covasna,82
Gorj,80
Mehedinți,77
Alba,74
Ilfov,56
Valcea,53
Giurgiu,52
Maramures,47
Dambovița,40
Satu-Mare,40
Calarasi,39
Braila,38
Tulcea,24
Teleorman,18
