Year,Revenue in U.S. dollars
War for the Planet of the Apes,12831070
Valerian and the City of a Thousand Planets,11174766
Cars 3,9918326
Despicable Me 3,4196533
What Happened to Monday?,3940555
Annabelle: Creation,3703326
Dunkirk,2984456
120 Beats Per Minute,2500786
The Son of Bigfoot,1903703
The Hitman's Bodyguard,1607633
Atomic Blond,1346369
Overdrive,1174605
Spider-Man: Homecoming,1090165
The Beguilded,1026964
Petit Paysan,827145
Baby Driver,702946
The Jungle Bunch,662324
Wish Upon,536272
Sales Gosses,513708
The Dark Tower,57259
