State,Volume of trade goods in million U.S. dollars
Texas,301259.9
California,159293.3
New York,67620.5
Louisiana,57780.2
Illinois,55429.6
Washington,54129.4
Florida,51329.4
Michigan,51219.3
Ohio,48648.6
Pennsylvania,39277.4
South Carolina,38160.8
Georgia,37705.0
Indiana,36595.1
New Jersey,33302.1
North Carolina,31737.6
Kentucky,30309.5
Tennessee,28735.7
Massachusetts,24090.6
Arizona,22686.7
Oregon,21567.1
Minnesota,20419.2
Wisconsin,19996.5
Alabama,18897.1
Virginia,16508.7
Utah,15792.8
Connecticut,14813.6
Missouri,12329.0
Iowa,12082.9
Maryland,11879.9
Mississippi,10927.5
Kansas,10662.9
Nevada,8224.1
Colorado,7447.8
Nebraska,6890.4
North Dakota,6149.9
Oklahoma,5653.6
Arkansas,5578.8
West Virginia,5463.5
New Hampshire,5308.3
Alaska,4748.1
New Mexico,4461.7
Delaware,4016.2
District of Columbia,3598.7
Idaho,3202.5
Vermont,2778.2
Maine,2513.2
Rhode Island,2491.3
Montana,1549.5
South Dakota,1233.9
Wyoming,1214.4
Hawaii,426.5
