Month,Consumer price index (CPI)
Sep '20,109.42
Aug '20,109.83
Jul '20,109.76
Jun '20,109.52
May '20,109.45
Apr '20,109.53
Mar '20,109.53
Feb '20,109.71
Jan '20,109.69
Dec '19,109.04
Nov '19,108.9
Oct' 19,108.83
Sep '19,108.44
Aug '19,108.94
Jul '19,108.96
Jun '19,108.87
May '19,108.93
Apr '19,108.91
Mar '19,108.85
Feb '19,108.52
Jan '19,108.17
Dec '18,108.22
Nov '18,108.48
Oct '18,108.31
Sep '18,107.58
Aug '18,107.58
Jul '18,107.43
Jun '18,107.02
May '18,106.91
Apr '18,106.69
Mar '18,106.37
Feb '18,106.22
Jan '18,106.06
